Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 325i Automatic (4-Türer);Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix (4-Türer);Bencin;170;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325ix Automatic (4-Türer);Bencin;170;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 324d (4-Türer);Dizel;86;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 324d Automatic (4-Türer);Dizel;86;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 324td (4-Türer);Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 324td Automatic (4-Türer);Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. ;Bencin;195;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. Europameister;Bencin;195;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 ;Bencin;200;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. ;Bencin;215;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. Cecotto;Bencin;215;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Evolution;Bencin;220;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. Sport Evolution;Bencin;238;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Touring ;Bencin;100;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Touring Automatic;Bencin;100;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Touring Design Edition;Bencin;100;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Touring Design Edition Automatic;Bencin;100;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Touring ;Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Touring Automatic;Bencin;113;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Touring Design Edition;Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Touring Design Edition Automatic;Bencin;113;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Touring ;Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Touring Automatic;Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Touring ;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Touring Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix Touring ;Bencin;170;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325ix Touring Automatic;Bencin;170;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 324td Touring ;Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 324td Touring Automatic;Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Kat. Cabrio ;Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Kat. Cabrio Automatic;Bencin;113;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Kat. Cabrio Design Edition;Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Kat. Cabrio Design Edition Automatic;Bencin;113;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. Cabrio ;Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. Cabrio Automatic;Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. Cabrio ;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. Cabrio Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Cabrio ;Bencin;171;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
